customer_id,name,gender,age,city,signup_date
70,최서준,M,22,성남,2025-06-01
71,김은주,F,35,수원,2024-05-24
72,백준혁,F,52,대구,2023-11-18
73,이건우,M,33,수원,2025-12-01
74,이지아,M,30,부산,2025-04-04
75,김도현,F,60,울산,2026-04-02
76,정지현,M,45,울산,2025-05-08
77,김성수,M,64,서울,2026-04-20
78,고하윤,F,21,울산,2024-03-26
79,김종수,M,69,부산,2026-04-04
80,강민재,F,30,인천,2026-05-24
81,구지원,M,26,울산,2026-04-01
82,서성진,F,35,수원,2026-05-25
83,문지원,F,22,수원,2024-05-27
84,김채원,F,21,성남,2026-03-07
85,류영길,F,23,인천,2024-07-08
86,김경자,F,44,수원,2024-03-07
87,문현우,M,31,울산,2024-06-09
88,이현지,F,28,울산,2025-03-18
89,김현지,F,42,광주,2024-02-20
90,이미영,M,36,울산,2024-11-27
91,이은영,M,27,인천,2025-02-19
92,최상훈,M,31,서울,2025-09-23
93,유영철,F,65,대전,2025-10-05
94,장아름,F,21,고양,2023-10-24
95,이숙자,M,50,성남,2026-02-23
96,이숙자,F,21,성남,2024-10-29
97,이민수,F,29,부산,2024-11-11
98,장하윤,F,61,인천,2025-06-13
99,최건우,M,25,고양,2024-06-18
100,최재호,F,55,고양,2024-12-30
101,김영수,F,57,부산,2026-04-22
102,김미경,M,60,고양,2025-02-23
103,이지은,M,34,인천,2025-11-09
104,김서연,M,33,광주,2023-09-04
105,박준혁,M,26,광주,2023-10-27
106,강병철,M,38,부산,2025-09-10
107,김재호,F,47,고양,2023-08-15
108,황미숙,F,22,성남,2024-11-16
109,성영진,F,50,광주,2023-10-03
110,홍영길,F,40,부산,2026-01-03
111,민은서,F,41,광주,2026-06-15
112,강정희,F,46,성남,2025-02-12
113,최하윤,M,57,성남,2025-11-01
114,김상호,F,60,성남,2025-07-07
115,박은정,M,60,부산,2024-06-04
116,이서준,F,34,부산,2024-07-24
117,김서현,F,65,성남,2025-09-07
118,김영순,F,35,광주,2025-03-25
119,김승현,F,63,대전,2026-04-26
120,한지혜,F,61,광주,2025-11-25
121,김성현,M,34,서울,2025-11-11
122,곽영자,F,58,울산,2025-11-05
123,조서윤,M,20,서울,2024-04-05
124,김성진,M,67,대구,2025-08-22
125,김영수,M,28,수원,2023-12-26
126,김영숙,M,53,서울,2025-04-18
127,윤민수,F,22,대구,2024-12-27
128,이상철,F,41,고양,2024-08-01
129,이지아,F,45,대구,2026-02-05
130,김경수,F,37,대전,2025-03-22
131,이은지,F,40,인천,2025-12-12
132,권현정,F,60,부산,2024-03-14
133,김민수,M,67,성남,2025-08-11
134,김정자,M,57,대구,2025-11-26
135,조정호,F,28,대구,2023-12-12
136,차미영,M,19,대구,2023-09-06
137,장진호,M,68,울산,2024-10-16
138,김정순,F,35,대구,2025-06-26
139,황준혁,F,42,서울,2025-05-28
140,나종수,M,32,인천,2024-08-23
141,이영일,M,40,광주,2024-08-16
142,류미숙,F,32,서울,2026-06-27
143,류정자,F,43,대전,2024-11-28
144,차수민,M,22,광주,2026-01-10
145,박영희,M,59,성남,2025-10-18
146,고준영,M,61,성남,2023-11-11
147,김예은,M,19,부산,2025-06-07
148,김준혁,M,29,고양,2024-02-24
149,안성현,M,20,부산,2026-03-30
150,이경숙,M,40,대전,2026-06-13
